prix,id_produit,date_vendu
18,320,10-06-16
32,321,30-06-19
33,322,15-03-16
15,323,21-04-17
29,324,18-09-16
14,325,25-07-19
30,326,12-06-15
17,327,21-03-18
33,328,26-02-16
10,329,19-05-15
6,330,24-08-15
3,331,19-12-16
35,332,20-08-16
9,333,13-11-20
20,334,13-02-18
30,335,01-02-19
18,336,30-04-17
32,337,19-12-20
36,338,19-07-16
1,339,22-04-20
1,340,27-08-17
37,341,19-06-17
34,342,28-09-16
4,343,01-04-16
29,344,15-10-15
25,345,06-11-16
16,346,28-05-20
13,347,08-09-19
4,348,14-04-18
3,349,13-02-19
24,350,28-10-17
26,351,11-08-16
38,352,24-10-20
34,353,16-06-15
24,354,28-03-17
14,355,24-04-17
8,356,28-07-16
2,357,14-11-20
12,358,22-05-17
35,359,30-06-18
32,360,26-07-17
9,361,21-09-18
4,362,01-06-19
16,363,19-03-19
13,364,14-07-20
20,365,26-02-17
28,366,07-10-16
19,367,09-11-19
35,368,04-07-20
30,369,18-01-17
23,370,30-07-19
29,371,17-06-18
17,372,19-05-16
7,373,20-08-16
35,374,26-11-19
7,375,12-08-15
36,376,16-07-15
9,377,23-05-19
10,378,02-11-18
13,379,07-08-16
29,380,04-08-16
4,381,17-06-15
36,382,20-04-18
10,383,19-04-21
3,384,14-11-17
14,385,19-03-20
15,386,22-08-18
37,387,04-11-15
27,388,02-12-16
27,389,03-07-16
25,390,03-05-17
11,391,13-01-17
25,392,29-09-17
27,393,27-07-17
5,394,27-02-18
40,395,06-08-18
1,396,30-01-19
33,397,10-03-18
27,398,11-02-20
17,399,08-10-19
39,400,15-09-17
26,401,22-09-19
11,402,21-03-16
5,403,31-08-18
15,404,28-06-17
17,405,12-05-16
13,406,01-07-16
12,407,11-08-17
8,408,15-11-17
34,409,20-01-17
13,410,28-10-16
16,411,28-04-18
10,412,18-05-20
9,413,14-04-21
22,414,19-09-17
28,415,03-12-20
1,416,03-11-20
15,417,16-03-18
10,418,20-12-17
33,419,07-10-17
3,420,15-03-21
21,421,10-02-17
27,422,14-08-16
23,423,08-01-16
15,424,29-09-15
22,425,27-12-20
30,426,22-02-18
17,427,22-10-19
12,428,29-08-17
17,429,08-08-20
9,430,03-11-16
3,431,16-06-18
28,432,09-09-16
32,433,13-03-19
29,434,12-05-18
13,435,09-08-19
1,436,24-10-16
26,437,21-02-16
40,438,22-04-16
6,439,18-07-17
23,440,13-02-18
14,441,04-12-15
7,442,12-01-16
20,443,12-07-17
4,444,11-02-16
9,445,16-10-18
37,446,12-04-18
29,447,16-02-18
40,448,19-11-19
19,449,20-03-21
1,450,08-02-16
12,451,08-03-18
7,452,16-10-20
19,453,02-03-21
12,454,13-09-20
30,455,21-03-17
8,456,09-06-20
31,457,01-01-21
4,458,24-10-19
11,459,17-03-19
32,460,12-07-18
20,461,27-04-16
34,462,06-06-15
6,463,24-06-15
39,464,29-01-19
1,465,06-10-18
37,466,08-08-17
39,467,05-09-16
3,468,29-01-19
20,469,13-05-19
28,470,12-10-20
12,471,21-05-17
14,472,07-10-15
2,473,14-08-16
3,474,23-06-16
14,475,09-10-19
10,476,22-03-19
4,477,11-04-20
26,478,12-10-17
34,479,29-07-18
17,480,09-06-20
9,481,17-05-16
15,482,30-09-16
11,483,31-08-18
39,484,05-06-19
20,485,02-05-19
19,486,30-01-17
4,487,30-04-21
38,488,09-04-16
2,489,08-04-19
16,490,08-03-18
27,491,27-01-20
4,492,20-11-17
7,493,04-11-18
5,494,21-02-17
27,495,04-11-17
23,496,23-01-21
40,497,03-11-19
39,498,19-10-16
10,499,29-04-21
2,500,16-04-18
32,501,17-04-20
17,502,06-05-19
17,503,30-06-15
28,504,27-01-20
11,505,15-06-19
32,506,18-07-18
25,507,17-06-15
19,508,21-12-15
18,509,26-04-20
13,510,01-03-18
5,511,03-03-18
15,512,08-12-17
9,513,22-10-15
35,514,29-08-16
2,515,31-03-17
14,516,17-03-21
13,517,27-01-18
9,518,21-08-20
30,519,19-01-17
27,520,17-06-19
7,521,03-02-16
24,522,09-09-19
2,523,05-01-21
38,524,21-08-19
8,525,23-08-15
31,526,30-07-18
31,527,07-10-15
31,528,20-05-17
5,529,27-02-21
26,530,25-07-17
8,531,27-08-19
22,532,01-01-19
35,533,30-03-17
11,534,11-01-21
4,535,10-05-20
35,536,31-05-15
24,537,05-11-16
32,538,05-02-20
40,539,12-05-18
4,540,13-05-16
20,541,11-11-16
22,542,05-04-19
26,543,22-11-19
21,544,26-09-16
4,545,16-08-19
5,546,12-04-17
14,547,09-11-20
22,548,19-03-17
26,549,23-07-16
39,550,23-11-17
25,551,21-05-17
3,552,03-01-16
15,553,09-05-16
25,554,19-11-20
14,555,29-04-19
10,556,16-02-17
32,557,24-12-18
14,558,18-11-19
5,559,14-05-18
39,560,11-06-16
35,561,08-07-20
16,562,02-03-16
2,563,13-10-19
28,564,19-02-20
1,565,15-09-15
29,566,28-06-19
5,567,14-06-20
16,568,11-04-21
14,569,07-01-21
32,570,12-02-19
39,571,12-07-15
32,572,31-07-20
9,573,30-05-17
10,574,11-12-20
9,575,09-06-15
1,576,18-06-16
6,577,01-04-20
7,578,20-09-15
26,579,16-08-19
39,580,30-05-20
20,581,21-10-19
3,582,08-09-19
27,583,28-10-20
8,584,24-06-19
23,585,25-09-15
37,586,01-12-18
30,587,19-03-16
23,588,14-08-19
17,589,24-11-19
34,590,05-08-18
21,591,26-10-19
19,592,05-08-15
30,593,21-06-19
27,594,24-08-18
2,595,16-10-15
22,596,07-01-16
24,597,17-11-15
39,598,09-07-20
36,599,27-03-17
20,600,18-03-20
2,601,09-12-19
29,602,21-01-17
40,603,10-10-19
7,604,28-03-16
3,605,25-09-20
40,606,12-10-20
4,607,07-01-20
28,608,31-05-17
34,609,09-04-21
29,610,24-06-18
39,611,13-08-15
6,612,16-12-20
8,613,06-11-18
17,614,02-09-17
13,615,30-06-15
2,616,03-07-19
36,617,20-07-15
6,618,11-07-16
11,619,03-02-18
37,620,16-02-19
22,621,09-08-15
9,622,07-03-18
6,623,12-05-16
23,624,31-03-19
2,625,14-06-16
30,626,27-01-19
2,627,27-08-19
37,628,22-09-17
40,629,22-09-19
20,630,29-01-17
35,631,17-04-16
10,632,29-08-16
29,633,15-05-19
9,634,24-10-17
24,635,23-06-15
4,636,28-03-19
14,637,08-12-19
3,638,29-08-18
39,639,26-12-17
1,640,21-09-18
3,641,17-02-19
6,642,26-05-18
33,643,24-10-16
4,644,12-01-18
14,645,05-10-16
6,646,04-10-19
32,647,28-02-17
21,648,10-12-18
31,649,23-07-19
3,650,11-02-20
6,651,23-10-18
24,652,31-10-15
32,653,03-01-19
39,654,27-12-15
4,655,09-03-21
22,656,09-01-20
13,657,17-02-19
7,658,29-05-19
8,659,11-12-16
7,660,19-11-18
35,661,13-06-18
26,662,21-02-16
1,663,28-03-19
35,664,08-09-16
3,665,27-10-17
2,666,10-11-15
3,667,08-12-17
28,668,05-01-20
9,669,23-02-20
10,670,08-01-17
26,671,11-07-16
4,672,09-02-16
25,673,04-02-19
1,674,20-06-18
20,675,04-03-17
18,676,23-06-17
25,677,24-11-15
33,678,20-05-19
23,679,14-12-16
37,680,16-11-19
33,681,01-12-19
19,682,07-10-19
1,683,28-08-16
20,684,25-02-18
24,685,06-02-19
7,686,24-05-18
36,687,06-06-18
40,688,14-03-18
37,689,08-04-21
5,690,09-05-19
2,691,13-12-15
8,692,26-07-18
16,693,03-05-16
21,694,30-03-19
17,695,15-04-17
37,696,12-07-18
30,697,19-12-19
35,698,02-09-19
30,699,08-03-20
11,700,15-08-15
34,701,23-11-20
15,702,16-04-19
31,703,03-11-19
37,704,26-09-18
24,705,24-04-17
30,706,20-06-17
17,707,23-05-16
16,708,01-04-18
9,709,09-02-18
4,710,21-03-21
27,711,04-04-16
40,712,14-05-19
3,713,07-07-15
6,714,19-11-20
29,715,27-09-18
36,716,20-05-18
4,717,07-03-19
17,718,09-02-17
20,719,14-02-17
20,720,18-01-19
35,721,24-03-16
1,722,19-06-19
18,723,13-09-16
32,724,22-06-15
37,725,10-08-15
35,726,22-11-20
20,727,13-09-18
5,728,03-07-18
32,729,03-07-20
5,730,03-12-17
29,731,05-09-19
11,732,09-07-19
37,733,23-03-18
24,734,06-12-16
6,735,18-03-19
9,736,27-01-17
6,737,10-03-20
10,738,15-01-21
11,739,20-10-18
19,740,08-11-20
6,741,22-03-17
2,742,26-01-16
38,743,16-05-19
31,744,06-07-20
25,745,08-10-20
17,746,02-03-20
23,747,06-08-17
13,748,28-11-19
8,749,09-04-19
5,750,28-09-19
31,751,11-06-20
24,752,25-08-15
17,753,03-07-18
5,754,27-02-19
7,755,28-07-15
3,756,27-10-17
9,757,20-05-20
25,758,22-01-20
1,759,03-08-16
7,760,20-04-16
11,761,09-06-16
25,762,18-04-19
33,763,02-12-17
16,764,12-08-15
38,765,06-08-17
13,766,05-01-17
27,767,07-01-17
29,768,21-11-20
37,769,03-01-16
34,770,25-09-20
18,771,05-08-19
19,772,23-11-18
26,773,25-07-15
30,774,08-08-17
32,775,13-04-21
5,776,02-05-16
17,777,22-01-16
12,778,18-10-18
1,779,19-12-18
14,780,22-07-19
10,781,25-10-20
33,782,05-09-19
2,783,06-01-21
29,784,26-10-18
38,785,12-06-20
28,786,04-08-18
21,787,26-05-16
14,788,03-10-17
18,789,10-03-17
23,790,24-12-18
34,791,04-02-19
20,792,20-08-20
13,793,04-01-17
22,794,05-03-18
17,795,27-05-20
8,796,19-02-20
4,797,18-07-18
4,798,26-10-15
5,799,02-08-17
